District,ConstituencyTitle,WinningParty,Votes,TotalValidVotes,TotalRejectedVotes,TotalVotes,TotalRegisteredVoters,Turnout,Year
tank,NA-37,independent,13559,0,0,0,0,43.7,2018
nawabshah,NA-213,pakistan peoples party parlimentarian,108404,162196,4807,166725,350280,47.59,2008
tribal area,NA-47,independent,27,48139,457,48217,121265,39.76,2013
tribal area,NA-39,independent,8,47602,231,47833,125687,38.05,2013
abbottabad,NA-18,pakistan tehreek-e-insaf,41391,181627,6784,187224,336924,55.57,2013
malakand p area,NA-35,jamaat-e-islami pakistan,16397,138984,4362,142962,311172,45.95,2013
tharparkar,NA-229,independent,11,164597,3972,166922,256685,65.03,2008
islamabad,NA-48,independent,45,173189,1042,173968,292142,59.55,2013
lakki marwat,NA-27,jamiat ulama-e-islam (f),85051,169216,5277,174492,330921,53.0,2013
gujrat,NA-104,pakistan muslim league,96379,170348,3586,173568,311343,55.07,2008
toba tek singh,NA-94,independent,45,242627,8291,246020,385561,63.8,2013
bannu,NA-26,independent,45270,175007,5300,177252,444059,39.0,2013
bahawalpur,NA-187,pakistan muslim league (n),37775,131164,2432,133596,264580,50.5,2002
awarancumlasbela,NA-270,pakistan sunni tehreek,78,99860,4632,104491,238664,43.78,2013
dera ismail khan,NA-24,muttahidda majlis-e-amal,43124,110608,2445,113053,267513,42.26,2002
bannu,NA-35,pakistan tehreek-e-insaf,113822,238962,7356,246318,578872,42.55,2018
loralai,NA-263,balochistan national movement,1290,78657,3087,81744,272509,30.0,2002
haripur,NA-19,pakistan muslim league (q),81496,199787,6277,206064,453508,45.44,2002
shangla,NA-31,jamiat ulama-e-islam (f),8407,92744,4093,93978,296723,31.67,2013
kharan cum panjgur,NA-271,muttahidda majlis-e-amal,25775,64334,3678,68012,198911,34.19,2002
lakki marwat,NA-27,independent,108,123547,3874,126515,266658,47.44,2008
lahore,NA-123,independent,290,0,0,0,0,51.13,2018
hyderabad,NA-220,muttahidda majlis-e-amal,41190,90740,1197,91937,273607,33.6,2002
tribal area,NA-37,independent,18,87090,206,87296,141190,61.82,2008
ghotk,NA-200,independent,95,168424,8283,176081,291682,60.37,2013
islamabad,NA-48,majlis wahdat-e-muslimeen pakistan,1125,173189,1042,173968,292142,59.55,2013
kohat,NA-14,independent,6774,98618,3029,101567,357556,28.41,2008
bahawalnagar,NA-188,independent,40191,142799,5542,148311,269766,54.98,2008
jhang  cumchiniot old na jhang,NA-88,independent,68850,172084,7309,179393,277976,64.54,2013
swab,NA-12,awami workers party,152,152455,4094,155163,351675,44.12,2013
pishin cum ziarat,NA-261,pakistan pakhtoonkhawa milli awami party,17599,71016,4045,75061,270777,27.7,2002
gujranwala,NA-100,independent,45,142896,1320,144216,329285,43.79,2008
kasur,NA-140,pakistan peoples party parlimentarian,6449,0,0,0,0,60.65,2018
chakwal,NA-64,pakistan tehreek-e-insaf,155214,311355,9039,320394,551011,58.15,2018
swat,NA-29,independent,415,178857,6237,184299,521072,35.37,2013
lahore,NA-123,independent,9,0,0,0,288994,0.0,2008
kashmore old jacobabad,NA-210,pakistan muslim league (f),10347,99501,5104,104605,251995,41.51,2013
lahore,NA-135,pakistan muslim league (n),55431,0,0,0,0,53.94,2018
sheikhupura,NA-133,independent,95,156671,4490,161095,291283,55.31,2013
karachi,NA-249,independent,234,0,0,0,0,39.58,2018
jacobabadcumkashmore old jacobabad,NA-209,pakistan peoples party parlimentarian,111578,131698,2057,133553,283779,47.06,2008
charsadda,NA-23,pakistan peoples party parlimentarian,13966,0,0,0,0,42.18,2018
tribal,NA-44,independent,45,0,0,0,0,25.32,2018
bahawalpur,NA-187,pakistan peoples party parlimentarian,73660,131164,2432,133596,264580,50.5,2002
lahore,NA-127,independent,168,160108,2401,161700,330154,49.0,2013
abbottabad,NA-18,independent,728,150979,3843,154603,347770,44.26,2008
peshawar,NA-2,independent,5326,76293,2003,77892,314904,24.73,2008
battagram,NA-22,independent,185,71236,3400,73339,204979,35.78,2013
tribal area,NA-47,independent,23,48139,457,48217,121265,39.76,2013
lahore,NA-124,pakistan muslim league (n),146294,254901,3829,258730,533497,48.5,2018
jhang,NA-114,independent,65440,0,0,0,0,62.45,2018
layyah,NA-181,pakistan muslim league (q),86247,153254,5653,158907,275563,57.67,2002
faisalabad,NA-76,pakistan muslim league (q),56089,127603,3003,130606,291363,44.83,2002
gujranwala,NA-80,independent,619,0,0,0,0,53.36,2018
faisalabad,NA-77,pakistan peoples party parlimentarian,23959,138490,3316,141680,240482,58.91,2008
upper,NA-5,pakistan muslim league (n),14462,0,0,0,0,48.26,2018
kasur,NA-142,pakistan muslim league (n),85243,173646,6099,179473,278336,64.48,2013
tribal area,NA-40,independent,1272,77113,857,77970,160666,48.52,2013
toba tek singh,NA-92,independent,630,216146,8058,218731,354476,60.7,2013
lahore,NA-133,pakistan muslim league (n),89678,190531,2347,192878,371676,51.89,2018
attock,NA-59,pakistan muslim league (n),59819,191704,7137,198841,309334,64.0,2013
bahawalpur,NA-187,pakistan muslim league,92972,184456,6076,190232,282844,67.26,2013
swat,NA-30,pakistan muslim league,16337,69314,2918,79986,404540,19.8,2008
kasur,NA-142,pakistan muslim league (q),58420,108928,2778,111706,234431,47.65,2002
mirpurkhas,NA-227,muttahidda majlis-e-amal,3149,106907,3331,110238,259929,42.4,2002
rawalpindi,NA-51,pakistan peoples party (shaheed bhutto),285,239527,5815,245342,452466,54.22,2013
nankana sahibcum sheikhupura old sheikhupura,NA-136,pakistan muslim league,39371,116174,4634,120546,219843,54.83,2008
battagram,NA-12,pakistan peoples party parlimentarian,12427,0,0,0,0,35.5,2018
lakki marwat,NA-27,awami national party,2909,169216,5277,174492,330921,53.0,2013
tribal area,NA-44,independent,29,58959,1502,60000,185040,32.43,2013
kasur,NA-137,independent,28876,0,0,0,0,58.91,2018
rawalpindi,NA-55,independent,40649,96659,2174,98833,254943,38.77,2002
chakwal,NA-60,pakistan muslim league (q),72331,200355,4195,204550,386932,52.86,2002
lahore,NA-123,pakistan muslim league,16,0,0,0,288994,0.0,2008
sargodha,NA-89,pakistan peoples party parlimentarian,19495,0,0,0,0,58.93,2018
tribal,NA-48,independent,280,0,0,0,0,23.32,2018
larkana,NA-205,independent,183,90414,2219,92633,272435,34.0,2002
tharparkar,NA-229,pakistan muslim league,135697,164597,3972,166922,256685,65.03,2008
sialkot,NA-110,independent,86,176294,3290,179479,342125,52.46,2013
karachi,NA-253,pak muslim alliance,2401,79703,1101,80804,249365,32.4,2002
mianwali,NA-71,pakistan peoples party parlimentarian,4260,162464,5468,167812,330173,50.82,2008
sheikhupura,NA-122,pakistan tehreek-e-insaf,64616,0,0,0,0,57.83,2018
gujranwala,NA-98,pakistan muslim league (n),7366,131614,5079,136693,285993,47.8,2002
multan,NA-154,pakistan tehreek-e-insaf,74220,214634,5103,219737,385233,57.04,2018
faisalabad,NA-82,pakistan muslim league (n),37049,104801,1712,106513,267093,39.88,2002
faisalabad,NA-81,pakistan peoples party parlimentarian,58855,124414,3346,127760,281593,45.37,2002
okara,NA-145,pakistan peoples party parlimentarian,64607,129554,4223,133774,287122,46.59,2008
multan,NA-152,pakistan muslim league (n),36870,116710,2143,118853,279550,42.52,2002
bahawalnagar,NA-167,independent,390,0,0,0,0,56.81,2018
sanghar,NA-234,pakistan muslim league (n),24474,102298,4061,106359,242471,43.9,2002
rawalpindi,NA-52,independent,1081,255828,4329,259631,455186,57.04,2013
narowal,NA-115,pakistan muslim league (n),59688,111256,3594,114946,202087,56.87,2008
faisalabad,NA-101,tehreek-e-labbaik pakistan,9962,0,0,0,0,58.19,2018
naushero feroze,NA-212,muttahidda majlis-e-amal,2352,158163,3930,162084,376544,43.04,2008
sibi cum kolhu cum dera bugti,NA-265,muttahidda majlis-e-amal,4447,141608,2502,144110,308704,46.7,2002
rahimyar khan,NA-197,pakistan peoples party parlimentarian,79039,130757,2520,133277,265809,50.14,2002
lahore,NA-125,pakistan tehreek-e-insaf,84495,222161,4199,217762,429485,51.9,2013
karachi,NA-256,muttahida qaumi movement,123491,163868,1326,165160,371067,44.5,2008
lahore,NA-126,independent,30,196155,1916,196045,359492,55.0,2013
toba tek singh,NA-94,independent,1755,170131,4818,174949,344077,50.85,2002
swabi,NA-18,pakistan tehreek-e-insaf,78970,187543,7285,194828,449012,43.39,2018
tribal area,NA-41,independent,3,37461,706,0,92719,0.0,2013
multan,NA-151,independent,137,126275,1502,127777,351092,38.85,2008
jacobabad,NA-208,pakistan peoples party (shaheed bhutto),862,70722,3006,73728,252842,29.2,2002
vehari,NA-164,independent,2829,0,0,0,0,57.58,2018
faisalabad,NA-102,pakistan peoples party (shaheed bhutto),975,0,0,0,0,54.67,2018
tribal area,NA-41,independent,5,37461,706,0,92719,0.0,2013
narowal,NA-116,pakistan peoples party parlimentarian,40291,146223,5351,151574,271905,55.74,2013
jhang,NA-116,independent,978,0,0,0,0,62.15,2018
khushab,NA-69,pakistan muslim league,61076,164024,6117,170111,283887,59.92,2008
nawabshah,NA-213,pakistan muslim league (n),2528,162196,4807,166725,350280,47.59,2008
karachi,NA-246,muttahida qaumi movement,53134,97128,837,97965,261736,37.4,2002
karachi,NA-251,muttahida qaumi movement,56888,174404,3325,177729,405652,43.81,2018
upper,NA-5,pakistan tehreek-e-insaf,66545,207664,8256,215920,447414,48.26,2018
rahim yar khan,NA-193,independent,94,159044,5185,163913,288381,56.84,2013
okara,NA-145,pakistan muslim league (n),89025,170939,6777,171245,293394,58.0,2013
jacobabad,NA-210,independent,141,132036,5331,137367,289394,47.5,2002
tribal area,NA-47,independent,5028,48139,457,48217,121265,39.76,2013
lahore,NA-120,independent,8,151403,2031,153328,295826,51.85,2013
lahore,NA-118,independent,41,92862,1758,94620,250850,37.7,2008
sargodha,NA-66,independent,43,145468,3804,149249,408823,37.0,2008
gujrat,NA-107,all pakistan youth working party,14,207167,4385,211081,400622,53.0,2013
karach,NA-248,independent,91,133980,2100,136080,295536,46.04,2013
sargodha,NA-65,jamaat-e-islami pakistan,6767,189710,6947,201449,323341,62.3,2013
kohistan,NA-11,qaumi watan party,183,0,0,0,0,40.89,2018
dera ismail khan,NA-24,independent,91,220433,10510,219518,390996,56.14,2013
jhelum,NA-62,pakistan muslim league (n),102230,215830,6580,216920,389451,55.69,2013
okara,NA-144,pakistan muslim league (n),118670,241463,6558,248021,431948,57.42,2018
bhakkar,NA-74,independent,98366,188776,6885,194925,300762,64.81,2008
narowal,NA-115,pakistan muslim league (n),59688,111256,3594,114946,202087,56.87,2008
islamabad,NA-48,independent,29,104409,548,104902,239924,43.72,2008
toba tek singh,NA-93,pakistan muslim league,64287,169690,5196,174716,289211,60.41,2008
killa abdullah,NA-262,pakistan awami quwat party,9,88963,3079,91225,184824,49.35,2013
lahore,NA-126,pakistan peoples party parlimentarian,2770,196155,1916,196045,359492,55.0,2013
kashmore,NA-197,pakistan peoples party parlimentarian,84742,149993,15340,165333,454542,36.37,2018
mirpurkhascumumerkot,NA-227,independent,143,124933,5054,129060,331905,38.8,2008
lahore,NA-134,national party,381,0,0,0,0,53.4,2018
swat,NA-29,pakistan peoples party parlimentarian,12774,72795,2066,74737,412055,18.13,2008
sheikhupuracumnankana sahibii old sheikhupura,NA-134,independent,30,104982,2804,107786,208782,51.66,2008
swat,NA-3,pakistan tehreek-e-insaf,68162,155420,6452,161872,401124,40.35,2018
faisalabad,NA-83,independent,295,140145,3059,143202,311576,45.96,2008
karachi,NA-250,pakistan muslim league (q),4718,68283,952,69235,205400,33.7,2002
okara,NA-146,independent,445,133915,5686,139493,311975,44.71,2008
bahawalnagar,NA-166,independent,101811,219458,5156,224614,356995,62.92,2018
faisalabad,NA-84,pakistan peoples party parlimentarian,38421,112068,1805,113223,249391,45.4,2008
rawalpindi,NA-62,barabri party pakistan,86,0,0,0,0,52.01,2018
karak,NA-34,independent,457,0,0,0,0,49.69,2018
toba,NA-112,pakistan tehreek-e-insaf nazriati,443,0,0,0,0,59.22,2018
mardan,NA-11,independent,707,132539,3970,136212,329285,42.0,2013
multan,NA-158,pakistan tehreek-e-insaf,83304,241985,5690,247675,436391,56.76,2018
mardan,NA-9,independent,93,57054,1063,80816,262042,30.8,2008
lahore,NA-125,independent,36,0,0,0,0,0.0,2018
bolancumjhal magsi old kachhi,NA-267,pakistan peoples party parlimentarian,1115,111548,2020,112222,242024,46.36,2008
faisalabad,NA-81,awami justice party pakistan,209,206571,5824,212395,344031,61.74,2013
mansehra,NA-20,pakistan peoples party parlimentarian,1442,117395,3379,120774,327352,36.89,2002
tribal area,NA-38,pakistan peoples party parlimentarian,0,0,0,0,0,0.0,2013
lahore,NA-118,pakistan peoples party parlimentarian,24712,92862,1758,94620,250850,37.7,2008
tribal,NA-48,independent,1942,0,0,0,0,23.32,2018
tando allahyarcummatiari old hyderabad,NA-223,pakistan peoples party parlimentarian,84669,130876,4694,135635,276836,48.99,2008
sukkur,NA-198,independent,74,82245,1665,83910,238761,35.1,2002
malir,NA-238,pakistan peoples party parlimentarian,29598,100408,2816,103223,234616,44.0,2018
thatta,NA-232,pakistan peoples party parlimentarian,152691,182484,8682,191166,440329,43.41,2018
buner,NA-28,awami national party,19638,73731,2670,76401,269067,28.39,2002
lahore,NA-120,independent,98,71987,819,72806,232800,31.27,2002
ghotki,NA-201,muttahida qaumi movement,1918,104775,4284,109059,285481,38.2,2002
upper dircumlower din old upper dir,NA-33,jamiat ulama-e-islam (f),6567,115473,4360,118279,368035,32.14,2013
tribal,NA-43,independent,24,0,0,0,0,37.9,2018
khanewal,NA-151,pakistan muslim league (n),111198,233754,3638,237392,404946,58.62,2018
tribal,NA-49,independent,329,0,0,0,0,20.71,2018
mirpurkhascumumerkot,NA-227,independent,16,124933,5054,129060,331905,38.8,2008
mandi bahauddin,NA-109,independent,76,210501,6445,212922,384637,55.36,2013
tribal,NA-46,pakistan tehreek-e-insaf,16938,0,0,0,0,43.17,2018
gujranwala,NA-97,independent,843,167431,4228,171510,328632,52.18,2013
islamabad,NA-52,independent,541,0,0,0,0,64.26,2018
chakwal,NA-65,pakistan muslim league,157497,306975,9907,316882,552523,57.35,2018
sheikhupuraii old sheikhupura,NA-133,independent,92,97934,3959,101893,222833,45.73,2008
rawalpindi,NA-54,christian progressive movement,93,165049,1801,166523,300816,55.36,2013
mardan,NA-9,jamiat ulama-e-islam (f),14427,148390,3558,151637,336177,45.12,2013
nowshera,NA-25,pakistan tehreek-e-insaf-gulalai,959,0,0,0,0,48.79,2018
khanewal,NA-156,independent,977,186878,9354,190000,314492,62.32,2013
gujranwala,NA-99,pakistan muslim league (q),62209,131018,3742,134760,284193,47.42,2002
nankana sahibiii old sheikhupra,NA-137,muttahida qaumi movement,344,169065,6641,175596,287484,61.08,2013
bhakkar,NA-73,independent,3579,217179,13256,230052,336765,68.31,2013
bahawalpur,NA-183,pakistan peoples party parlimentarian,71394,114145,2800,116940,314932,37.13,2008
tando,NA-228,pakistan peoples party parlimentarian,76067,140076,7038,147114,274941,53.51,2018
faisalabad,NA-102,all pakistan muslim league,714,0,0,0,0,54.67,2018
awaran cum lasbela,NA-270,pakistan muslim league (q),40156,72519,3274,75793,252610,30.0,2002
attock,NA-56,pakistan muslim league (n),99404,0,0,0,0,52.5,2018
umerkot,NA-220,pakistan peoples party parlimentarian,162979,274686,11473,286159,461867,61.96,2018
gujranwala,NA-98,jamhoori wattan party,28,145988,4793,150781,368599,40.96,2008
mansehra,NA-13,independent,482,0,0,0,0,59.66,2018
gujrat,NA-105,independent,60,199918,4492,203864,394060,51.73,2013
lakki,NA-36,muttahida majlis-e-amal pakistan,91065,201699,9167,210866,421224,50.06,2018
chiniot,NA-100,awami justice party pakistan,353,0,0,0,0,61.68,2018
tribal area,NA-39,independent,1471,28176,335,28511,97620,29.21,2002
nowshera,NA-5,pakistan muslim league (n),4229,94570,2701,97234,263153,37.0,2008
badin,NA-224,independent,228,139013,2582,141595,364228,38.9,2002
faisalabad,NA-110,pakistan tehreek-e-insaf,114215,249613,4345,253958,445459,57.01,2018
rawalpindi,NA-55,independent,6,118484,1013,0,333928,0.0,2008
tribal area,NA-40,independent,17,77113,857,77970,160666,48.52,2013
tribal area,NA-39,independent,21844,49126,381,49463,123335,40.1,2008
sheikhupura,NA-122,pakistan peoples party parlimentarian,16697,0,0,0,0,57.83,2018
abbottabad,NA-18,pakistan awami tehreek,3516,114080,3200,117280,323694,36.23,2002
faisalabad,NA-76,muttahida qaumi movement,296,185170,6346,191686,329266,58.21,2013
larkana,NA-204,pakistan peoples party parlimentarian,46743,70055,2241,72296,275041,26.3,2002
dera ismail khan,NA-24,muttahidda majlis-e-amal,43124,110608,2445,113053,267513,42.26,2002
abbottabad,NA-18,mutahida deeni mahaz,9309,181627,6784,187224,336924,55.57,2013
sargodha,NA-67,muttahidda majlis-e-amal,38136,145378,4665,150043,305379,49.13,2002
kasur,NA-140,independent,672,182127,5715,185869,291601,63.74,2013
abbottabad,NA-16,qaumi watan party,2353,0,0,0,0,49.84,2018
zhobcumsheranicumkilla saifullahold zhobcum,NA-264,independent,24204,58782,3290,61952,222330,27.86,2008
lahore,NA-119,independent,9,153892,1818,155655,305570,50.93,2013
islamabad,NA-53,independent,0,0,0,0,0,56.53,2018
tribal,NA-47,independent,100,0,0,0,0,32.87,2018
gujrat,NA-107,independent,257,207167,4385,211081,400622,53.0,2013
charsadda,NA-23,independent,1308,0,0,0,0,42.18,2018
peshawar,NA-1,pakistan tehreek-e-insaf,90500,145924,2103,146044,320578,46.18,2013
lakki marwat,NA-27,independent,54,169216,5277,174492,330921,53.0,2013
toba tek singh,NA-93,independent,62,221817,5795,227220,352845,64.4,2013
battagram,NA-22,pakistan muslim league,22316,55043,1027,55566,151437,36.69,2008
sialkot,NA-113,jamaat-e-islami pakistan,223,196602,5205,200989,353741,56.5,2013
faisalabad,NA-82,pakistan muslim league (n),62889,132853,2239,135080,287186,47.0,2008
tribal area,NA-40,pakistan tehreek-e-insaf,8239,77113,857,77970,160666,48.52,2013
gujrat,NA-106,pakistan peoples party parlimentarian,89555,172429,6456,179026,322310,55.54,2008
quetta,NA-266,balochistan national party,20034,61541,2779,64320,187539,34.3,2018
tribal,NA-44,pakistan tehreek-e-insaf,12537,66215,929,67144,265217,25.32,2018
islamabad,NA-53,independent,0,0,0,0,0,56.53,2018
karachi,NA-257,muttahida qaumi movement,134498,185901,6,188363,386376,48.75,2008
lahore,NA-119,pakistan tehreek-e-insaf,40821,153892,1818,155655,305570,50.93,2013
bannu,NA-26,pakistan tehreek-e-insaf,25392,175007,5300,177252,444059,39.0,2013
peshawar,NA-3,independent,471,173647,5276,177823,384086,46.3,2013
umerkotold mirpurkhas,NA-228,pakistan peoples party parlimentarian,99700,196523,9905,203122,295065,68.84,2013
lakki marwat,NA-27,pakistan muslim league (n),56824,169216,5277,174492,330921,53.0,2013
hyderabad,NA-222,pakistan peoples party parlimentarian,53705,92505,1794,94299,262149,36.0,2002
kasur,NA-137,independent,3831,0,0,0,0,58.91,2018
lahore,NA-129,pakistan muslim league (n),103021,214705,3709,218414,404802,53.96,2018
faisalabad,NA-79,independent,149,192563,7322,190941,335868,56.85,2013
karachi,NA-255,muttahida qaumi movement,157971,190638,1451,192088,331927,57.8,2008
abbottabad,NA-18,pakistan muslim league (n),72586,150979,3843,154603,347770,44.26,2008
karachi,NA-241,awami national party,5953,73634,924,74558,201562,37.0,2002
sanghar,NA-215,independent,938,0,0,0,0,54.86,2018
toba,NA-112,independent,5406,0,0,0,0,59.22,2018
karachi,NA-251,muttahida qaumi movement,83537,131024,2673,133697,337193,39.64,2008
sialkot,NA-74,independent,358,0,0,0,0,55.4,2018
faisalabad,NA-102,independent,1361,0,0,0,0,54.67,2018
mansehra,NA-20,mohajir qaumi movement pakistan,274,221152,8452,226592,415191,54.6,2013
lahore,NA-127,pakistan muslim league (n),53602,93052,1338,94390,279080,33.82,2008
thatta,NA-237,independent,953,199886,11209,210795,362768,58.1,2013
bannu,NA-35,pakistan justice & democratic party,1015,0,0,0,0,42.55,2018
khuzdar,NA-269,pakistan peoples party parlimentarian,2370,0,0,0,0,54.32,2018
tribal area,NA-43,independent,13097,26625,748,27373,114139,23.98,2002
kasuricumlahore,NA-138,pakistan muslim league (n),75694,182053,6305,187843,282555,66.5,2013
rajanpur,NA-174,jamiat ulama-e-pakistan (noorani),80,211060,10187,219916,369102,59.52,2013
kech cum gwadar,NA-272,independent,44177,89008,3035,92043,281748,32.67,2002
gujrat,NA-106,independent,128,213817,6893,222983,413565,53.91,2013
lahore,NA-118,muttahidda majlis-e-amal,2728,69879,1327,71206,243707,29.22,2002
badin,NA-230,grand democratic alliance,96875,206056,10263,218319,371879,58.17,2018
karach,NA-247,independent,70,169112,4937,173969,303774,57.24,2013
sahiwal,NA-148,pakistan muslim league (n),128880,269177,6843,276020,492020,56.1,2018
vehari,NA-164,pakistan peoples party parlimentarian,2625,0,0,0,0,57.58,2018
mardan,NA-9,independent,87,148390,3558,151637,336177,45.12,2013
attock,NA-57,independent,444,182125,5464,186122,353751,52.61,2013
swat,NA-30,independent,143,158098,7228,165325,460748,35.88,2013
rawalpindi,NA-54,independent,34,165049,1801,166523,300816,55.36,2013
karachi,NA-250,muttahidda majlis-e-amal,21462,68283,952,69235,205400,33.7,2002
tribal,NA-42,independent,21076,0,0,0,0,0.0,2018
lahore,NA-123,pakistan muslim league (n),126878,173676,2155,175830,347941,50.53,2013
faisalabad,NA-105,independent,6472,0,0,0,0,56.84,2018
swat,NA-29,awami national party,19860,72795,2066,74737,412055,18.13,2008
gujranwala,NA-84,independent,93,0,0,0,0,57.36,2018
karachi,NA-247,independent,130,87099,1203,88302,243006,36.3,2002
khushab,NA-70,independent,736,210142,6836,215424,343920,62.64,2013
lahore,NA-124,labour party pakistan,515,76491,1374,77865,255757,30.44,2002
tribal area,NA-38,independent,0,0,0,0,0,0.0,2013
toba tek singh,NA-94,independent,66960,242627,8291,246020,385561,63.8,2013
abbottabad,NA-18,independent,2145,114080,3200,117280,323694,36.23,2002
kharan cum panjgur,NA-271,balochistan national democratic party,1435,64334,3678,68012,198911,34.19,2002
gujranwala,NA-96,muttahidda majlis-e-amal,39181,89548,2145,91693,248268,36.93,2002
rawalpindi,NA-61,independent,32,0,0,0,0,51.38,2018
lodhran,NA-155,pakistan peoples party parlimentarian,68941,153001,1123,154124,272048,56.65,2008
karachi,NA-239,pakistan peoples party parlimentarian,56840,110675,2377,113052,312401,36.19,2008
naushero feroze,NA-211,muttahida qaumi movement,65,164572,3312,168176,381020,44.138,2008
layyah,NA-182,pakistan peoples party parlimentarian,74932,174062,4343,178405,303784,58.73,2002
sahiwal,NA-148,all pakistan muslim league,1202,0,0,0,0,56.1,2018
sheikhupura,NA-121,independent,730,0,0,0,0,56.16,2018
lower dir,NA-34,independent,187,149331,5364,152181,504694,30.15,2013
sheikhupura,NA-137,tehreek hussainia pakistan,616,125292,3497,128789,279668,46.05,2002
gujranwala,NA-96,independent,44,154948,2997,154760,303568,52.0,2013
hyderabad,NA-221,pakistan muslim league (q),12966,68266,1466,69732,223681,31.2,2002
layyah,NA-182,pakistan muslim league (n),75910,169346,5033,174192,295598,58.93,2008
lower dir,NA-34,muttahidda majlis-e-amal,53799,90673,2072,92745,327902,28.28,2002
attock,NA-59,pakistan peoples party parlimentarian,71400,156228,4150,160104,263849,60.68,2008
peshawar,NA-3,independent,2071,90895,2566,93241,257192,36.25,2008
mirpurkhascumumerkot,NA-226,independent,195,143934,4184,148116,354611,41.76,2008
faisalabad,NA-106,pakistan tehreek-e-insaf,103799,0,0,0,0,58.92,2018
tando muhammad khancumhyderabadcumbadin old h,NA-222,independent,8,113490,2200,116451,318867,36.52,2008
battagram,NA-22,independent,1924,71236,3400,73339,204979,35.78,2013
narowal,NA-116,pakistan muslim league,37138,114350,6537,120887,224956,53.73,2008
nasirabad,NA-266,pakistan peoples party parlimentarian,41899,120147,6635,126782,493722,25.7,2002
kasur,NA-140,pakistan peoples party parlimentarian,30305,133167,2350,130004,230446,56.41,2008
vehari,NA-169,pakistan muslim league (n),48999,150635,4133,154632,320861,48.24,2008
toba,NA-113,pakistan tehreek-e-insaf,128274,254969,7879,262848,438842,59.9,2018
vehar,NA-168,pakistan muslim league (n),69049,187849,5934,187727,312836,61.91,2013
jhang,NA-91,pakistan peoples party parlimentarian,45428,136876,3562,140438,261795,53.64,2002
bolancumjhal magsi old kachhi,NA-267,independent,61249,111548,2020,112222,242024,46.36,2008
gujranwala,NA-83,pakistan peoples party parlimentarian,3161,0,0,0,0,55.07,2018
chakwal,NA-60,independent,2073,294995,9559,306258,486070,63.0,2013
sahiwal,NA-149,pakistan peoples party parlimentarian,12578,0,0,0,0,56.92,2018
karachi,NA-258,pakistan freedom movement,142,106656,2233,108889,263393,41.3,2002
tribal area,NA-37,independent,4,93968,518,94484,162660,58.09,2013
charsadda,NA-8,pakistan peoples party parlimentarian,3848,139141,4625,143540,327423,43.63,2013
karachi,NA-252,pakistan tehreek-e-insaf,21065,84542,2215,86757,219042,39.61,2018
multan,NA-148,pakistan peoples party parlimentarian,49918,200651,4310,205254,350801,58.51,2013
tharparkar,NA-229,pakistan peoples party parlimentarian,88218,178509,8640,187149,268217,69.77,2013
pakpattan,NA-146,pakistan human party,21112,0,0,0,0,59.55,2018
faisalabad,NA-81,pakistan peoples party parlimentarian,58855,124414,3346,127760,281593,45.37,2002
dera ghazi khan,NA-171,jamiat ulama-e-islam (s),30,162634,7114,169748,381343,44.42,2008
charsadda,NA-7,all pakistan muslim league,503,169170,5113,173869,376144,46.22,2013
khanewal,NA-153,pakistan muslim league (n),106291,247328,4514,251842,410891,61.29,2018
larkana old larkana,NA-204,muttahidda majlis-e-amal,127,97697,1834,99528,374350,26.58,2008
dera ghazi khan,NA-171,azad pakistan party,116,184298,5868,0,347789,52.0,2013
faisalabad,NA-82,muttahida qaumi movement,81,200368,2805,203173,343634,59.12,2013
faisalabad,NA-84,pakistan muslim league (n),103176,180364,4509,184873,308900,59.84,2013
mirpurkhas,NA-219,pakistan peoples party parlimentarian,105823,175605,8998,184603,345734,53.39,2018
peshawar,NA-1,jamiat ulma-e-islam nazryati pakistan,42,145924,2103,146044,320578,46.18,2013
narowal,NA-117,independent,959,154637,3067,157566,272892,57.73,2013
kasur,NA-138,pakistan muslim league (q),39781,116211,3545,119756,245303,48.82,2002
sheikhupura,NA-121,pakistan tehreek-e-insaf,71308,0,0,0,0,56.16,2018
peshawar,NA-3,independent,1228,173647,5276,177823,384086,46.3,2013
rahimyar,NA-180,independent,37145,0,0,0,0,58.86,2018
upper dircumlower dir old upper dir,NA-33,independent,84,69951,2020,71678,267936,26.75,2008
kasur,NA-138,independent,265,116211,3545,119756,245303,48.82,2002
mardan,NA-9,jamiat ulama-e-islam (f),14427,148390,3558,151637,336177,45.12,2013
okara,NA-144,pakistan peoples party parlimentarian,63713,99887,2549,102436,231670,44.22,2002
nasirabad,NA-266,balochistan national congress,278,120147,6635,126782,493722,25.7,2002
faisalabad,NA-81,independent,7285,206571,5824,212395,344031,61.74,2013
hafizabad,NA-87,pakistan muslim league (n),157453,0,0,0,0,59.13,2018
swabi,NA-19,pakistan tehreek-e-insaf,83903,203707,8023,211730,463621,45.67,2018
naushero feroze,NA-212,muttahidda majlis-e-amal,2352,158163,3930,162084,376544,43.04,2008
multan,NA-150,national alliance,4215,77608,1585,79193,287894,27.51,2002
lahore,NA-130,pakistan peoples party parlimentarian,46095,84078,2108,86186,232372,37.09,2002
kasuricumlahore,NA-138,jamiat ulama-e-pakistan (noorani),4937,182053,6305,187843,282555,66.5,2013
narowal,NA-77,pakistan muslim league (n),106366,267585,11119,278704,507995,54.86,2018
upper dir,NA-33,awami national party,3268,71934,2581,74515,230952,32.26,2002
