District,ConstituencyTitle,WinningParty,Votes,TotalValidVotes,TotalRejectedVotes,TotalVotes,TotalRegisteredVoters,Turnout,Year
tribal area,NA-38,independent,0,0,0,0,0,0.0,2013
swab,NA-12,pakistan muslim league (n),7227,152455,4094,155163,351675,44.12,2013
gujranwala,NA-79,allah-o-akbar tehreek,3814,0,0,0,0,54.66,2018
lahore,NA-127,independent,1,93052,1338,94390,279080,33.82,2008
attock,NA-57,independent,250,182125,5464,186122,353751,52.61,2013
gujranwala,NA-82,aam awam party,326,0,0,0,0,52.26,2018
faisalabad,NA-110,pakistan sunni tehreek,100,0,0,0,0,57.01,2018
tribal area,NA-47,independent,94,48139,457,48217,121265,39.76,2013
gujranwala,NA-99,independent,80,145824,3981,149805,342054,43.8,2008
awaran cum lasbela,NA-270,pakistan peoples party parlimentarian,17143,72519,3274,75793,252610,30.0,2002
lahore,NA-123,independent,68,0,0,0,288994,0.0,2008
tribal area,NA-44,pakhtoonkhwa milli awami party,282,58959,1502,60000,185040,32.43,2013
lahore,NA-119,independent,9,153892,1818,155655,305570,50.93,2013
buner,NA-28,independent,30116,77626,1805,79431,290460,27.346,2008
layyah,NA-182,pakistan justice party,563,254352,9302,262364,388333,67.58,2013
okara,NA-143,pakistan muslim league (q),50106,117484,3422,120906,243777,49.6,2002
gujrat,NA-105,independent,1061,135208,3380,138588,292310,47.41,2002
faisalabad,NA-79,independent,268,148867,7226,156093,275953,56.56,2008
tribal area,NA-36,independent,3922,24648,341,24989,108081,23.12,2002
bahawalpur,NA-174,pakistan tehreek-e-insaf,63884,187100,6925,194025,368433,52.68,2018
gujranwala,NA-81,muttahida majlis-e-amal pakistan,4151,0,0,0,0,50.58,2018
rahimyar khan,NA-196,pakistan muslim league (n),30376,114817,2878,117695,256278,45.92,2002
peshawar,NA-3,pakistan muslim league (n),12096,90895,2566,93241,257192,36.25,2008
mardan,NA-10,pakistan peoples party parlimentarian,23138,93931,2928,96680,256037,37.76,2008
lahore,NA-124,pakistan tehreek-e-insaf,80981,0,0,0,0,48.5,2018
okara,NA-143,independent,0,124135,4627,128762,280597,45.88,2008
nowshera,NA-5,awami national party,29572,94570,2701,97234,263153,37.0,2008
tribal area,NA-38,independent,0,0,0,0,0,0.0,2013
sialkot,NA-111,pakistan peoples party (shaheed bhutto),328,222298,5508,227587,399981,56.89,2013
nowshera,NA-6,awami national party,36835,85144,3522,88635,238295,37.19,2008
lahore,NA-123,independent,89,173676,2155,175830,347941,50.53,2013
faisalabad,NA-105,pakistan tehreek-e-insaf,77862,241220,9135,250355,440419,56.84,2018
khairpur,NA-215,pakistan peoples party parlimentarian,91809,170509,5958,173725,285128,60.92,2013
lahore,NA-129,independent,990,147257,3392,148012,273648,54.08,2013
narowal,NA-115,independent,277,142358,5748,148106,247582,57.5,2013
quetta,NA-259,independent,140,73810,1691,75501,310948,24.3,2002
tribal area,NA-40,tehreek-e-pasmanada awam pakistan,5,77113,857,77970,160666,48.52,2013
gujranwala,NA-82,pakistan muslim league (n),117520,224670,6221,230891,441801,52.26,2018
khushab,NA-70,independent,58906,160524,5809,166328,273799,60.75,2008
mianwali,NA-72,pakistan peoples party parlimentarian,50210,143789,4525,148314,312785,47.42,2002
sialkot,NA-74,pakistan peoples party parlimentarian,2625,0,0,0,0,55.4,2018
shangla,NA-10,pakistan muslim league (n),34070,123670,4632,128302,374343,34.27,2018
jhang,NA-89,independent,71,125421,5028,129838,312773,41.51,2008
muzaffargarh,NA-177,independent,46409,136328,4766,141094,255321,55.26,2002
ghotki,NA-201,independent,92,127440,4003,131439,282085,46.19,2008
karachi,NA-248,pakistan muslim league (q),556,71494,1100,72594,225479,32.2,2002
attock,NA-55,tehreek-e-labbaik pakistan,25429,0,0,0,0,53.47,2018
dikhancumtank,NA-25,independent,154,187513,9165,195360,366793,53.26,2013
nowshera,NA-5,independent,930,156152,4521,159999,320675,49.89,2013
lahore,NA-125,pakistan muslim league (n),122327,250263,0,250263,485624,0.0,2018
gujranwala,NA-97,pakistan muslim league (n),48701,113526,3563,117159,344369,34.02,2008
tribal,NA-45,pakistan muslim league (z),29,0,0,0,0,35.01,2018
sheikhupura,NA-120,pakistan muslim league (n),99674,216295,7653,223948,377354,59.35,2018
tribal area,NA-36,independent,3432,53017,66,53083,179304,29.92,2013
sahiwal,NA-148,pakistan muslim league (n),128880,269177,6843,276020,492020,56.1,2018
tribal,NA-43,independent,10332,0,0,0,0,37.9,2018
lahore,NA-123,independent,4,0,0,0,288994,0.0,2008
kasur,NA-140,independent,86,133167,2350,130004,230446,56.41,2008
tribal area,NA-47,independent,662,48139,457,48217,121265,39.76,2013
kasuricumlahore,NA-138,karwan-i-millat pakistan,971,182053,6305,187843,282555,66.5,2013
bahawalnagar,NA-191,pakistan peoples party parlimentarian,83903,168500,4002,172405,362672,47.53,2008
rawalpindi,NA-51,pakistan peoples party parlimentarian,81761,175867,3320,179187,345475,51.87,2002
tribal,NA-50,independent,269,0,0,0,0,33.0,2018
karachi,NA-255,muttahida qaumi movement,25646,100230,1217,101447,246368,41.2,2002
peshawar,NA-31,pasban pakistan,615,0,0,0,0,42.2,2018
gujrat,NA-70,independent,3508,0,0,0,0,49.74,2018
tribal,NA-42,independent,114,0,0,0,0,0.0,2018
lahore,NA-125,pakistan tehreek-e-insaf,84495,222161,4199,217762,429485,51.9,2013
swabi,NA-18,independent,5923,0,0,0,0,43.39,2018
lahore,NA-130,pakistan muhafiz watan party,99,157391,3960,158657,290930,54.76,2013
karach,NA-249,awami muslim league pakistan,800,185457,2634,197024,304528,60.9,2013
sibicumkohlucumdera bugticumhernaiold sibi,NA-265,pakistan muslim league,56715,99592,1720,101312,281867,35.94,2008
dera ismail khan,NA-24,pakistan tehreek-e-insaf,21394,220433,10510,219518,390996,56.14,2013
rawalpindi,NA-56,pak wattan party,62,160363,1479,161627,288423,56.04,2013
rawalpindi,NA-54,pakistan sunni tehreek,327,165049,1801,166523,300816,55.36,2013
tor ghar cum mansehra,NA-21,independent,2152,172537,5660,177071,392364,45.13,2013
